"","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text"
"1",1,"629697200650592256","No candidate mentioned","2015-08-07 09:54:46 -0700","Neutral","","Quito","RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate"
"2",2,"629697199560069120","Scott Walker","2015-08-07 09:54:46 -0700","Positive","","","RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…"
"3",3,"629697199312482304","No candidate mentioned","2015-08-07 09:54:46 -0700","Neutral","","","RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow."
"4",4,"629697197118861312","No candidate mentioned","2015-08-07 09:54:45 -0700","Positive","Texas","Central Time (US & Canada)","RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …"
"5",5,"629697196967903232","Donald Trump","2015-08-07 09:54:45 -0700","Positive","","Arizona","RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…"
"6",6,"629697194283499520","Ted Cruz","2015-08-07 09:54:44 -0700","Positive","","Central Time (US & Canada)","RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews"
"7",7,"629697192383672320","No candidate mentioned","2015-08-07 09:54:44 -0700","Negative","North Georgia","Eastern Time (US & Canada)","RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…"
"8",8,"629697192169750528","No candidate mentioned","2015-08-07 09:54:44 -0700","Neutral","New York NY","Eastern Time (US & Canada)","Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate"
"9",9,"629697190219243520","Ben Carson","2015-08-07 09:54:44 -0700","Negative","","Pacific Time (US & Canada)","Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate"
"10",10,"629697185093824512","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD"
"11",11,"629697185072988160","Donald Trump","2015-08-07 09:54:42 -0700","Negative","Peoria, IL","Central Time (US & Canada)","@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate"
