,id,tweet_id,candidate,tweet_created,sentiment,user_timezone,text,predictedLabel,maxEntPrediction,maxEntProbability,svmPrediction,svmProbability,glmnetPrediction,glmnetProbability,consensusCount,probabilityLabel,consensusLabel,humanLabel
12696,33944,ID708166463467577344,Ted Cruz,3/11/2016 0:43,1,none,"RT @TheDailyEdge: Cruz: ""We need to show respect to the people. Except the gays. I will carpet bomb the gays"" #CNNDebate #GOPDebate https:/",1,1,1,1,0.876143354,1,0.851392937,3,1,1,1
48143,69427,ID708430611086610433,Ted Cruz,3/11/2016 18:13,1,Mountain Time (US & Canada),RT @FrankLuntz: Ted Cruz's focus group dials hits 98 with his attack on media bias. ?  That's the highest score we've ever measured. EVER. ,1,3,1,1,0.886952089,1,0.776664037,2,3,1,1
2792,22794,ID708107571266232320,Donald Trump,3/10/2016 20:49,3,Eastern Time (US & Canada),RT @ChestnutPrince: .@realDonaldTrump 'I think Islam hates us'  https://t.co/nQI1NaGfMA #Trump2016 #GOPDebate   Do you agree with him?,1,3,1,1,0.727560108,1,0.533206973,2,3,1,3
31683,52950,ID708154949738356736,Donald Trump,3/10/2016 23:57,3,Eastern Time (US & Canada),RT @christinawilkie: Young black college student who was curious about Trump got thrown out and then attacked. Dude. America. #GOPDebate  h,1,1,1,1,0.893333251,1,0.841410113,3,1,1,3
14361,35611,ID708146565530030080,Ted Cruz,3/10/2016 23:24,3,none,"CRUZ: ""Obamacare hurts ppl on the bottom encouraging them..."" @Mellynjess @AuntLulie #GOPDebate #RBRadio https://t.co/XAxk8Jlcl8",1,3,1,1,0.875585831,1,0.827608316,2,3,1,3
37091,58364,ID708144180904615936,Donald Trump,3/10/2016 23:15,2,none,RT @peaceandjoy101: Truth Bomb! Without a doubt  #Trump was the clear winner of 2nights debate.He is the only choice to #MakeAmericaGreatAg,1,3,1,1,0.509094849,1,0.554403586,2,3,1,2
27585,48848,ID708154009727541249,Ted Cruz,3/10/2016 23:54,2,none,RT @asamjulian: Cruz came off as a petulant little child tonight. I pray that everyone watching sees what a phony this guy is. #GOPDebate,1,3,1,1,0.883527009,1,0.853907017,2,3,1,2
64286,85586,ID708333504971407361,Donald Trump,3/11/2016 11:47,1,Pacific Time (US & Canada),"RT @AnnTelnaes: Trump: ""There's great love for this country"" #GOPDebate https://t.co/1xmNnTGULr",3,3,1,3,0.582735641,3,0.793757007,3,3,3,1
53180,74469,ID708166740149084161,Donald Trump,3/11/2016 0:44,1,Pacific Time (US & Canada),"RT @loudobbsnews: Trump handled the rally q well, and put the whole ""pledge"" issue in context and called Today Show's handling of it a ""dis",1,3,1,1,0.792543275,1,0.817629993,2,3,1,1
19291,40546,ID708149551119474688,Donald Trump,3/10/2016 23:36,3,none,"RT @KLSouth: #Trump is correct, we own China. Where will they sell their stuff if we dont buy it? We have great leverage. #GOPDebate",1,1,1,1,0.827819302,1,0.692986087,3,1,1,3
46765,68048,ID708140512587284480,Donald Trump,3/10/2016 23:00,1,none,RT @ChristiChat: #TRUMP Strong means Strong  Strong does not mean endorse  Politicians & Media don't understand everyday Americans or facts,1,1,1,1,0.856255426,1,0.649215928,3,1,1,1
59636,80931,ID708303603992121344,Donald Trump,3/11/2016 9:48,1,Quito,"RT @markmobility: While Trump says Muslims hate America, @IslamicRelief has been providing aid in the #FlintWaterCrisis #GOPDebate https://",1,1,1,1,0.866740335,1,0.83183755,3,1,1,1
45005,66286,ID708156382915080192,Ted Cruz,3/11/2016 0:03,3,Central Time (US & Canada),RT @MattMackowiak: Excellent closing statement from Cruz. #GOPDebate,3,3,1,3,0.528944223,3,0.608448184,3,3,3,3
64838,86139,ID708175149988651008,Ted Cruz,3/11/2016 1:18,2,Central Time (US & Canada),TRUE? #Cruz turns down FEC on campaign-loan disclosure https://t.co/IdhQb4PxtU  #tcot #ccot #tlot #PJNET #TDGN #RedNationRising #GOPDebate,1,3,1,1,0.750922491,1,0.606306922,2,3,1,2
25670,46931,ID708504063273410560,Donald Trump,3/11/2016 23:05,1,none,RT @kindcutesteve: Per #GOPDebate this tweet brilliantly summarizes how frightening Trump is as GOP frontrunner #p2 #AINF #TNTVote https://,1,1,0.999965232,1,0.892164334,1,0.713221277,3,1,1,1
5383,25388,ID708101747617570816,Donald Trump,3/10/2016 20:26,1,none,RT @0boy: Best word to describe Trump: Embarrassing https://t.co/Lu4GjHqfdB #GOPDebate #WakeUpAmerica https://t.co/ATI28TnkCR,1,1,0.999999996,1,0.5610252,3,0.615155083,2,1,1,1
31195,52462,ID708157999509065728,Donald Trump,3/11/2016 0:09,3,Eastern Time (US & Canada),"RT @thehill: Trump: GOP establishment ""should embrace what's happening"" https://t.co/4Eq8DijzPa #GOPdebate https://t.co/34lwgiZW0N",1,1,1,1,0.912331132,1,0.819321038,3,1,1,3
51275,72562,ID708149593515536385,Donald Trump,3/10/2016 23:36,1,America/Denver,"RT @guypbenson: ""I beat Hillary in many of the polls."" - Trump at #GOPDebate  The polls: https://t.co/7sWHYOBtVv",1,3,1,1,0.778299077,1,0.824977482,2,3,1,1
8202,28210,ID708100937626345473,Marco Rubio,3/10/2016 20:23,1,Eastern Time (US & Canada),This is do or die for Rubio. #GOPdebate,3,3,1,3,0.731033652,3,0.587888502,3,3,3,1
19073,40328,ID708140534611611648,Donald Trump,3/10/2016 23:00,3,Eastern Time (US & Canada),RT @morningmoneyben: Who are these people offering Trump illegal campaign donations of $5 million to $10 million? #GOPDebate,1,1,1,1,0.894947675,1,0.850066239,3,1,1,3
11060,32307,ID708220622107582464,Ted Cruz,3/11/2016 4:18,2,none,"RT @misterdish69: #GOPDebate #Dobbs Exactly, Cruz baited him, he showed class. Although he could have mentioned all the ideas were his http",1,1,1,1,0.875104459,1,0.844263164,3,1,1,2
26202,47464,ID708361542320795648,Ted Cruz,3/11/2016 13:38,3,none,"RT @DefendingtheUSA: Ted Cruz just said ""Government is the Problem"" TRUE, the DC Establishment  Cruz has been part of and STILL IS along w/",1,1,1,1,0.84159513,1,0.819213302,3,1,1,3
10880,32127,ID708145603432284164,Donald Trump,3/10/2016 23:20,1,none,"RT @yobynnad1127: Wow, #Trump was so on and yes he is right, millions and millions of Muslims hate America.  #GOPDebate https://t.co/Uup8mr",1,3,1,1,0.76113286,1,0.695210401,2,3,1,1
36231,57503,ID708141191053897728,Ted Cruz,3/10/2016 23:03,3,none,Who would have thought Ted Cruz would be sold as the not-crazy-dangerous candidate? #GOPDebate #HesStillTedCruz #YeahThatTedCruz #The2016GOP,1,1,0.999836117,1,0.779163287,1,0.826758113,3,1,1,3
6323,26329,ID708001728931766273,Donald Trump,3/10/2016 13:49,1,Quito,This is why Democrats sent Trump as a Trojan horse to @GOP but the GOP won't take the bait. #GOPDebate #DemDebate  https://t.co/lwBUvbcCY8,1,1,1,1,0.926073485,1,0.829564061,3,1,1,1
10248,31494,ID708335055173771265,Donald Trump,3/11/2016 11:53,1,none,"RT @stephenfhayes: Trump on Middle East conflict: ""I was the Grand Marshal of the Israeii Day parade, down 5th Avenue."" #embarrassing #GOPd",1,1,1,1,0.878438656,1,0.84590826,3,1,1,1
1327,21328,ID707873022548549633,Donald Trump,3/10/2016 5:17,1,Eastern Time (US & Canada),RT @OCAmericans: Oh my @realDonaldTrump must tackle this monster! Save Ohio! America needs Trump... NOW! #tcot #Trump2016 #GOPdebate  https,1,1,1,1,0.793952931,1,0.728676585,3,1,1,1
22015,43273,ID708143704406515712,Donald Trump,3/10/2016 23:13,1,none,"RT @ReutersLive: ""There's nobody on this stage that is more pro-Israel than me,"" Trump says at #GOPDebate. https://t.co/pWRty4ERbv",1,1,1,1,0.838340941,1,0.850529076,3,1,1,1
8708,28716,ID708092895501361157,Donald Trump,3/10/2016 19:51,1,Eastern Time (US & Canada),"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h",1,3,1,1,0.754545571,1,0.515642769,2,3,1,1
